name,field,dates,notes
Kandis Leslie Abdul-Aziz,chemical engineer and environmental engineer,,Developer of technologies that turn agricultural waste into a filtration system for water
Rediet Abebe,computer scientist,1991–,First female computer scientist to be appointed to the Harvard Society of Fellows
Lilia Ann Abron,chemical engineering and environmental engineering,1945–,First African-American woman to earn a PhD in chemical engineering
Stephanie G. Adams,engineer and academic administrator,,Dean of the Erik Jonsson School of Engineering and Computer Science at the University of Texas at Dallas since 2019
Lucile Adams-Campbell,epidemiology,1953–,First African-American woman to receive a PhD in epidemiology in the United States. Serves as the Professor of Oncology at Lombardi Comprehensive Cancer Center and associate director for Minority Health at the Georgetown University Medical Center.
Javaune Adams-Gaston,psychologist and academic administrator,,President of Norfolk State University since 2019.
Paris Adkins-Jackson,epidemiology,,Assistant Professor of Epidemiology and Sociomedical Sciences in the Mailman School of Public Health at Columbia University in New York.
Modupe Akinola,organizational scholar and social psychologist,1974–,"Researches the science of stress, creativity, and how to maximize human potential in diverse organizations."
Jacqueline Akinpelu,"applied mathematician, operations researcher",1953–,"Research manager at the Applied Physics Laboratory of Johns Hopkins University, and developed a pipeline for students from Morgan State University to mentor them into careers in STEM fields."
Delores P. Aldridge,sociologist,1941–,First African-American woman faculty member of Emory University and founding director of the first African-American and African-Studies degree-granting program in the South.
Claudia Alexander,"geophysics, planetary science",1959–2015,Project manager for NASA's Galileo mission and Rosetta mission
Beverly Anderson,mathematician,1943–,"Emeritus professor at the University of the District of Columbia, and in the 1990s, worked at the National Academy of Sciences as Director of Minority Programs for the Mathematical Sciences Education Board"
Cheryl Anderson,epidemiologist,,Professor at and founding Dean of the University of California San Diego Herbert Wertheim School of Public Health and Human Longevity Science
Giovonnae Anderson,electrical engineering,,"First African-American women to earn a PhD in electrical engineering at the University of California, Davis (1979): Giovonnae Anderson"
Gloria Long Anderson,chemistry,1938–,"Pioneer of nuclear magnetic resonance spectroscopy, known for work with fluorine-19 and solid rocket propellants"
Ayana Holloway Arce,physicist and professor,,"Associate professor of Duke University who works on particle physics, using data from the Large Hadron Collider to understand phenomena beyond the Standard Model"
Treena Livingston Arinzeh,biomedical engineering,1970–,Researcher of adult stem-cell therapy
Ludmilla Aristilde,engineer,,Professor at Northwestern University whose research considers environmental biochemistry and bioengineering
Elayne Arrington,mathematician and engineer,1940–,First African-American woman to graduate with a bachelor's degree from the School of Engineering at the University of Pittsburgh
Valerie Ashby,chemist,,"Chemist and university professor currently serving as president of the University of Maryland, Baltimore County"
Estella Atekwana,Biogeophysics; tectonphysics,1961–,"In August 2021 began tenure as dean of the largest college of the University of California, Davis: UC Davis College of Letters and Science"
Balanda Atis,cosmetic science,,Cosmetic chemist at L'Oréal USA who expanded range of cosmetics available for people of color
Donna Auguste,"businesswoman, computer scientist",1958–,Senior engineering manager for the Newton personal digital assistant (PDA)
Wanda Austin,aerospace engineering,1954–,Former president and CEO of The Aerospace Corporation
